miRNA name	H1	H2	H3	H4	H5	H6	H7	H8	H9	L1	L10	L2	L3	L4	L5	L6	L7	L8	L9	S1	S2	S3	S4	S5	S6	S7	S8	S9	HC	LN	SLE
hsa-let-7a-3p	1614.3353	1452.885	885.7748	1777.6649	2008.8344	1817.1129	1887.1226	1381.5101	2044.5572	1513.3363	264.9709	1591.5119	1413.9827	2223.2541	1162.2709	1568.2117	721.2797	1236.7928	1276.7316	263.8755	907.441	1515.569	1075.6672	1446.3469	1688.5644	554.4603	1685.6987	2087.5011	1652.199689	1297.23426	1247.236011
hsa-let-7a-5p	161083.7571	172339.8367	208469.3698	179575.8999	228196.9324	131366.5758	190961.8076	234836.4028	155104.3429	166403.9347	3444.6211	182670.2034	149882.1681	153784.4569	152257.4877	166793.6697	194439.2297	167108.3784	74369.6138	176532.6766	202661.827	188068.3384	174317.8477	200829.5225	188604.6025	145453.4253	173300.7069	260850.6567	184659.4361	141115.3764	190068.8448
hsa-let-7b-3p	672.6397	1383.7	1362.7305	1333.2487	1997.7359	1336.1124	1249.75	1218.9795	916.5257	819.7238	0	530.504	1445.4046	999.0572	1206.9736	1512.993	859.6073	1024.7712	478.7743	1231.4188	1285.5414	1102.232	1386.4155	1403.8073	1704.646	1416.9542	1196.3023	4435.9398	1274.602489	887.7809	1684.806367
hsa-let-7b-5p	86393.844	86757.9909	115735.5622	105517.11	124692.0157	127518.572	117214.0572	133671.2615	82628.3136	89034.6176	4769.4754	55172.4138	104760.4085	88958.3069	72194.9039	85445.4494	115740.695	111558.7123	76923.0769	118919.8698	116946.461	92587.4897	87093.1886	91438.9025	129633.5011	140463.2824	106144.6438	93067.7568	108903.1919	80455.80597	108477.2329
hsa-let-7c-3p	80.7168	138.37	34.0683	0	33.2956	0	0	30.4745	0	0	0	0	31.4218	0	0	22.0875	0	0	0	175.917	37.81	0	0	0	16.0816	0	0	434.8961	35.213911	5.35093	73.856078
hsa-let-7c-5p	25856.2703	28642.5903	34062.5834	30220.3035	33506.4704	21431.2437	31118.7762	33085.1356	19458.5448	25474.494	1059.8834	19628.6472	18476.0408	26650.9069	23468.9316	23191.863	23041.4291	18057.1752	21864.0281	32632.5974	29718.6933	18462.3863	20724.5216	24353.9296	25489.2816	32343.519	26209.8967	27659.3894	28597.99091	20091.33993	26399.35721
hsa-let-7d-3p	3874.4047	4566.21	5541.7705	5206.0187	9333.8661	8711.4532	5773.8452	6623.122	8107.727	5170.5656	794.9126	5305.0398	7038.4918	6289.8392	2860.9745	7907.3209	4090.5453	5159.1929	3511.0118	2286.9206	5558.0762	6751.1711	7398.2001	6487.2913	8040.7829	6037.4569	5057.0962	10959.3807	6415.379711	4812.78944	6508.486222
hsa-let-7d-5p	8798.1274	8302.2001	10493.0245	9872.3891	8612.4614	8497.6752	10785.3429	12718.0196	7755.2171	11917.5232	264.9709	6719.7171	8201.0998	11355.4814	8180.599	10513.6445	11214.4177	14664.8291	4947.3348	12138.2707	9490.3206	10195.6462	12824.3435	13378.7089	7301.0308	8994.5786	11691.1365	3392.1893	9537.161922	8797.96175	9934.025011
hsa-let-7e-3p	53.8112	761.035	130.595	126.9761	133.1824	267.2225	124.975	172.6888	70.502	378.3341	0	0	0	196.9972	44.7027	265.0499	79.0444	35.3369	0	87.9585	0	0	131.4704	106.349	128.6525	0	163.1321	0	204.554222	99.94652	68.618056
hsa-let-7e-5p	14609.7344	19648.5402	23967.0219	21554.187	26514.3948	22126.0221	20095.9808	26756.6003	24041.1732	37202.8501	264.9709	16268.7887	19952.8672	28986.7308	16674.1171	32291.9082	38751.4944	47386.8335	6862.4322	22869.2057	24538.7175	19289.0603	31289.964	29373.6042	18172.1692	31604.2385	39641.1093	16526.0503	22145.96163	24464.29931	25922.67989
